,노래 제목,랭킹
0,Ariana Grande - Santa Tell Me,13
1,Straight No Chaser - Text Me Merry Christmas (Feat. Kristen Bell),10
2,Ariana Grande - Last Christmas,10
3,"성시경, 박효신, 이석훈, 서인국, VIXX(빅스) - 크리스마스니까",8
4,아이유 - 미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),8
5,Kelly Clarkson - Underneath The Tree,8
6,Sia - Santa`s Coming For Us,8
7,Sam Smith - Have Yourself A Merry Little Christmas,8
8,Zion.T - 눈 (Feat. 이문세),8
9,Mariah Carey - All I Want For Christmas Is You,7
10,어반자카파 - 코끝에 겨울,7
11,소녀시대-태티서 (Girls` Generation-TTS) - Dear Santa,7
12,EXO - 첫 눈,7
13,"SG 워너비, 브라운아이드걸스 - Must Have Love",6
14,박효신 - 눈의 꽃,6
15,인피니트 - 하얀 고백 (Lately),6
16,"성시경, 박효신, 서인국, VIXX(빅스), 여동생 - 겨울 고백",6
17,Michael Buble - It`s Beginning To Look A Lot Like Christmas,6
18,소녀시대-태티서 (Girls` Generation-TTS) - Merry Christmas,6
19,김진표 - 로맨틱 겨울 (Feat. 김진호 Of SG워너비),5
20,"Stevie Wonder, Andra Day - Someday At Christmas (애플 크리스마스 광고 삽입곡)",5
21,Carly Rae Jepsen - Last Christmas,5
22,"박지헌, 강민경 (다비치) - Happy Together",5
23,Jessie J - Man With The Bag,5
24,Mariah Carey - Santa Claus Is Comin To Town,5
25,Lynden David Hall - All You Need Is Love,5
26,EXO - Christmas Day,4
27,Gwen Stefani - You Make It Feel Like Christmas (Feat. Blake Shelton),4
28,"성시경, 권진아 - 잊지 말기로 해 (Bonus Track)",4
29,Ashanti - Christmas Time Again,4
30,Michael Buble - Santa Claus Is Coming To Town,4
31,에일리 - 첫눈처럼 너에게 가겠다,4
32,Red Velvet (레드벨벳) - 세가지 소원 (Wish Tree),4
33,Sia - Snowman (삼성 갤럭시 노트 9 광고 삽입곡),4
34,Chante Moore - Christmas Time In L.A.,4
35,Maroon 5 - Happy Christmas (War Is Over),4
36,박효신 - 야생화,4
37,Justin Bieber - Only Thing I Ever Get For Christmas,4
38,Taylor Swift - Santa Baby,4
39,칸토 - 눈보다 먼저 (Feat. 애즈원),4
40,Ellie Goulding - O Holy Night,4
41,애즈원 - Jingle Bell Rock,4
42,Train - This Christmas,4
43,크레용팝 - 꾸리스마스,4
44,다비치 - 화이트(WHITE) (Feat. 박재범),4
45,"Mariah Carey, John Legend - When Christmas Comes",4
46,라붐(LABOUM) - 겨울동화,3
47,TWICE (트와이스) - Merry & Happy,3
48,김민종 - 하얀 그리움,3
49,지아 - 술 한잔 해요,3
50,핑클 - 화이트 (White),3
51,Madison Violet - Have Yourself A Merry Little Christmas,3
52,거미 - 눈꽃,3
53,정준일 - 첫 눈,3
54,Frank Sinatra - O Little Town Of Bethlehem,3
55,"다니엘, 양요섭 - 첫 눈 그리고 첫 키스",3
