,노래 제목,랭킹
0,Red Velvet (레드벨벳) - Power Up,10
1,여자친구 (GFRIEND) - 여름여름해 (Sunny Summer),10
2,씨스타 - SHAKE IT,9
3,Red Velvet (레드벨벳) - 빨간 맛 (Red Flavor),9
4,TWICE (트와이스) - Dance The Night Away,9
5,f(x) - Hot Summer,8
6,씨스타 - Loving U (러빙유),8
7,버즈 - 나에게로 떠나는 여행,8
8,명카드라이브 - 냉면,8
9,유엔 - 파도,8
10,현아 - Bubble Pop!,8
11,씨스타 - Touch My Body,7
12,청하 - Love U,7
13,쿨 (COOL) - 해변의 여인,7
14,인디고 - 여름아! 부탁해,7
15,러블리즈 - 여름 한 조각,7
16,SHINee (샤이니) - View,7
17,소녀시대 (GIRLS` GENERATION) - PARTY,7
18,TWICE (트와이스) - CHEER UP,6
19,보아 (BoA) - 아틀란티스 소녀 (Atlantis Princess),6
20,유피 - 바다,6
21,신화 - 으샤! 으샤!,6
22,쥬얼리 - 니가 참 좋아,6
23,"Sigala, Paloma Faith - Lullaby (LG Q7 광고 삽입곡)",6
24,Wanna One (워너원) - 에너제틱 (Energetic),6
25,오마이걸 - 내 얘길 들어봐 (A-ing) (Feat. 스컬&하하),6
26,선미 - 가시나,6
27,거북이 - 비행기,6
28,핑클 - 내 남자 친구에게,5
29,디바 - 왜불러,5
30,AOA - 빙글뱅글 (Bingle Bangle),5
31,포지션 - Summer Time,5
32,싸이 (PSY) - 낙원 (Feat. 이재훈),5
33,브라운아이드걸스 - 오아시스 (Feat. 이재훈),5
34,베이비 복스 1기 - 야야야,5
35,엄정화 - Festival (인생은 아름다워),5
36,모모랜드 (MOMOLAND) - 뿜뿜,5
37,태연 (TAEYEON) - Why,5
38,박명수 - 바다의 왕자,5
39,"Sigala, Fuse ODG, Sean Paul - Feels Like Home (Feat. Kent Jones)",5
40,윤종신 - 팥빙수,5
41,BLACKPINK - 뚜두뚜두 (DDU-DU DDU-DU),5
42,(여자)아이들 - LATATA,5
43,청하 - Why Don`t You Know (Feat. 넉살),4
44,Jonas Blue - Perfect Strangers (Feat. JP Cooper),4
45,모모랜드 (MOMOLAND) - BAAM,4
46,서연 - 여름안에서 (Original Ver.),4
47,볼빨간사춘기 - 여행,4
48,"Matoma, Becky Hill - False Alarm",4
49,Jonas Blue - Rise (Feat. Jack & Jack),4
50,원더걸스 - So Hot,4
51,클론 - 도시 탈출,4
52,비투비 - Call me,4
53,걸스데이 - Darling,4
54,룰라 - 3!4!,4
55,플라이 투 더 스카이 - Sea Of Love,4
56,여자친구 (GFRIEND) - 오늘부터 우리는 (Me Gustas Tu),4
57,WINNER - ISLAND,4
58,클론 - 꿍따리 샤바라,4
59,청하 - Roller Coaster,4
60,듀스 - 여름 안에서,4
61,Neiked - Call Me (Feat. MIMI),4
62,효린 - 바다보러갈래 (SEE SEA),4
63,마이티 마우스 - 에너지 (Feat. 선예),4
64,세븐틴 - 어쩌나,4
65,DIA (다이아) - 우우 (WooWoo),4
66,DJ DOC - 여름 이야기,4
67,박진영 - 날 떠나지마,3
68,Apink (에이핑크) - Remember,3
69,씨스타 - So Cool (쏘쿨),3
70,조pd (ZoPD) - 친구여 (Feat. 인순이),3
71,버스커 버스커 - 여수 밤바다,3
72,골든차일드 - LET ME,3
73,태연 (TAEYEON) - 제주도의 푸른 밤,3
74,Inna - Tropical,3
75,Savi - Losin` Myself (Feat. Ida Da Silva),3
76,프니엘 (PENIEL) - THAT GIRL,3
77,Busta K - Stay Here (Feat. Cece),3
78,Martin Jensen - All I Wanna Do,3
79,f(x) - All Mine,3
80,MXM - I`M THE ONE,3
81,DJ DOC - Run To You,3
82,Sigala - Give Me Your Love (Feat. John Newman & Nile Rodgers),3
83,Anne-Marie - 2002,3
84,2NE1 - I Don`t Care,3
85,박미경 - 이브의 경고,3
86,소녀시대 (GIRLS` GENERATION) - Holiday,3
87,이효리 - U-Go-Girl (With 낯선),3
88,원더걸스 - Why So Lonely,3
89,A R I Z O N A - Electric Touch,3
90,Klymvx - Siento (Feat. Marissa Chibli),3
91,스페이스 에이 - 섹시한 남자,3
92,Coldplay - Hymn For The Weekend (Seeb Remix),3
93,Mike Perry - The Ocean (Feat. Shy Martin) (Radio Edit.),3
94,우주미키 - 짜릿하게 (STRONG) (PROD.키겐),3
95,마마무(Mamamoo) - 별이 빛나는 밤,3
96,WINNER - REALLY REALLY,3
97,쿨 (COOL) - 애상,3
98,시크릿 - YooHoo (유후),3
99,마마무(Mamamoo) - 넌 is 뭔들,3
100,이승기 - 여행을 떠나요,3
101,"Sigala, Ella Eyre - Came Here For Love",3
102,카라 - 미스터,3
103,"Matoma, The Vamps - Staying Up",3
104,지누션 - 말해줘,3
105,JBJ - 꽃이야,3
106,ITZY (있지) - 달라달라,3
107,AOA - 심쿵해 (Heart Attack),3
108,이정현 - Summer Dance,3
109,자자 - Bus 안에서,3
110,국민의 아들 - NEVER,3
111,"Mattn, HIDDN - Late",3
112,왁스 - 오빠,3
113,Apink (에이핑크) - 1도 없어,3
114,루나 (LUNA) - Free Somebody,3
115,파파야 - 내 얘길 들어봐,3
116,SHINee (샤이니) - 데리러 가 (Good Evening),3
117,더 이스트라이트 (TheEastLight.) - 설레임,2
118,씨스타19 - Ma Boy (마보이),2
119,Fitz & The Tantrums - HandClap,2
120,씨스타 - I Swear,2
121,롱디 (LONG:D) - All night (Feat. 김도연 of 위키미키),2
122,"OneRepublic, Seeb - Rich Love",2
123,GOT7 (갓세븐) - Lullaby,2
124,엔플라잉 (N.Flying) - HOW R U TODAY,2
125,WINNER - AH YEAH (아예),2
126,Jason Mraz - Unlonely,2
127,"Alle Farben, Rhodes - H.O.L.Y.",2
128,듀스 - 여름안에서,2
129,WINNER - LOVE ME LOVE ME,2
130,언니쓰 - 맞지?,2
131,채정안 - 편지,2
132,David Guetta - 2U (Feat. Justin Bieber),2
133,KOLAJ - The Touch,2
134,"Zedd, Liam Payne - Get Low",2
135,체리킴 - Secret Love (Feat. SNK),2
136,Tobtok - Higher (Feat. Emil Hero) (Oliver Nelson & Skogsra Remix),2
137,"Calvin Harris - Feels (Feat. Pharrell Williams, Katy Perry & Big Sean)",2
138,Loomin - Best Day,2
139,달샤벳 - Supa Dupa Diva,2
140,Pop Culture - Where Did U Go (Feat. Tessa Violet),2
141,Neiked - Sexual (Feat. Dyo),2
142,Florrie - Too Young To Remember,2
143,터보 - Twist King,2
144,다비치 - 사랑과 전쟁 (Narr. 하하),2
145,"아이유, 피에스타 - 달빛바다",2
146,애프터스쿨 - Diva,2
147,Skiy - Bed Of Roses,2
148,TWICE (트와이스) - YES or YES,2
149,블락비 (Block B) - HER,2
150,아이오아이 (I.O.I) - Dream Girls,2
151,제이레빗 - 바람이 불어오는 곳,2
152,"Kungs, Cookin` On 3 Burners - This Girl (Kungs Vs. Cookin' On 3 Burners) (Kungs Vs. Cookin' On 3 Burners)",2
153,Apink (에이핑크) - NoNoNo,2
154,"KOLAJ, 에릭남 (Eric Nam) - Into You",2
155,레인보우 - A,2
