,노래 제목,랭킹
0,CHEEZE (치즈) - Be There,5
1,장범준 - 그모습 그대로,4
2,"볼빨간사춘기 - 나만, 봄",4
3,TVAM - These Are Not Your Memories,4
4,애즈원 - 행복해 (Feat. 키겐 of 팬텀),4
5,"린, 한해 - LOVE",4
6,Daron Malakian & Scars On Broadway - Lives,4
7,버스커 버스커 - 벚꽃 엔딩,4
8,"로꼬, 유주 (여자친구) - 우연히 봄",3
9,편안한 클래식 - Albeniz : Suite Espanola No.1 Op.47 - VIII. Cuba (Notturno) (알베니스 : 스페인 모음곡 1번 작품번호 47 - 8번. 쿠바),3
10,Linn Koch-Emmery - Under The Sun,3
11,린 - 자기야 여보야 사랑아,3
12,볼빨간사춘기 - 싸운날,3
13,편안한 클래식 - Bach : The Well-Tempered Clavier Book I. Prelude And Fugue No.5 In D Major BWV.850 (바흐 : 평균율 클라비어곡집 1권 전주곡과 푸가 5번 라장조),3
14,볼빨간사춘기 - 여행,3
15,Wolf Alice - Bros (Nao Remix),3
16,어반자카파 - Beautiful Day,3
17,The Main Level - Rude Love (Feat. Kingsley Anowi),3
18,"홍대광, Kei (러블리즈) - 연애하고 싶어",3
19,Lyse Netter - Prova Igjen,3
20,String Quartet MOTS - Brahms : Waltz No.15 In A Flat Major Op.39 (브람스 : 왈츠 15번 내림 가장조 작품번호 39) (눈밟는소리),3
21,String Quartet MOTS - Ivanovici : The Waves Of The Danube (이바노비치 : 다뉴브 강의 잔물결),3
22,String Quartet MOTS - Gossec : Gavotte In D Major `Rosine` (고섹 : 가보트 라장조 `로진`),3
23,훈스 (HOONS) - 얘가 이렇게 예뻤나,3
24,Charlie Puth - How Long,3
25,버스커 버스커 - 꽃송이가,3
26,편안한 클래식 - Brahms : Piano Sonata No.1 In C Major Op.1 - I. Allegro (브람스 : 피아노 소나타 1번 다장조 작품번호 1 - 1악장),3
27,악동뮤지션 - Be With You,3
28,산들 - 야! (Feat. 휘인),3
29,볼빨간사춘기 - 프리지아,3
30,String Quartet MOTS - Bach : Minuet 1,3
31,스탠딩 에그 - 데리러 갈게,3
32,Apink (에이핑크) - Mr. Chu (On Stage),3
33,에디킴 - 이쁘다니까,3
34,편안한 클래식 - Bach : The Well-Tempered Clavier Book I. Prelude And Fugue No.1 In C Major BWV.846 (바흐 : 평균율 클라비어곡집 1권 전주곡과 푸가 1번 다장조) (드라마 밀회 OST 삽입곡),3
35,String Quartet MOTS - Bach : Minuet 2,3
36,String Quartet MOTS - Schubert : An Die Musik Op.88-4 D.547 (슈베르트 : 음악에 붙임 작품번호 88-4),3
37,편안한 클래식 - Borodin Petite Suite - Mazurka Allegro (보로딘 작은모음곡 - 마주르카 알레그로),3
38,윤하 (YOUNHA) - Parade,3
39,String Quartet MOTS - Bach : Minuet In G Major BWV/Anh.114 (바흐 : 미뉴에트 사장조),3
40,펀치 (Punch) - 널 사랑할게,3
41,String Quartet MOTS - Boccherini : String Quintet In E Major Op.11-5 - Minuetto (보케리니 : 현악 5중주 마장조 작품번호 11-5 - 미뉴에트),3
42,String Quartet MOTS - Beethoven : Ich Liebe Dich WoO.123 (베토벤 : 그대를 사랑해),3
43,String Quartet MOTS - Schubert : Schwanengesang No.4 In D Minor D.957 `Serenade` (슈베르트 : 백조의 노래 4번 라단조 `세레나데`),3
44,Will.I.Am - Boys & Girls (Feat. Pia Mia),2
45,다슬 (DOCILE) - 타임머신,2
46,Ellie Goulding - Sixteen,2
47,THAMA - Fall In Love (Feat. Owen Ovadoz),2
48,노리플라이 (no reply) - 바라만 봐도 좋은데,2
49,Shawn Mendes - If I Can`t Have You,2
50,Loop - Know Me Better,2
51,정기고 - 너를 원해 (Feat. Beenzino),2
52,Yoe Mase - Falling,2
53,편안한 클래식 - Burgmueller 18 Etudes Op.109 - The Pearls (부르크뮐러 18개의 연습곡 작품번호 109 진주),2
54,Kina Grannis - Can`t Help Falling In Love,2
55,"공기남 - Gloomy Star (Feat. 1ho, Chan)",2
56,Katy Perry - Never Really Over,2
57,지나 - 애인이 생기면 하고 싶은 일 (With 비),2
58,스텔라장 (Stella Jang) - 카페인 (Under Caffeine),2
59,Acogi Groove - 二人のティ-タイム / Hutarino Teatime (두사람의 티타임),2
60,Nachteule String Quartet - Cuckoo waltz (뻐꾹왈츠),2
61,아이유 - 비밀의 화원,2
62,"Homme (창민, 이현) - 내겐 전부니까",2
63,이문세 - 봄바람 (Feat. 나얼),2
64,Ben Khan - Ruby,2
65,아이오아이 (I.O.I) - 벚꽃이 지면,2
66,첸 (CHEN) - 벚꽃연가,2
67,Nachteule String Quartet - Schumann : Kinderszenen Op.15 - VII. Traumerei (슈만 : 어린이의 정경 작품번호 15 - 7번. 트로이메라이),2
68,"Rihanna, Kanye West, Paul McCartney - FourFiveSeconds",2
69,오마이걸 - I FOUND LOVE,2
70,웅산 - Bear Walk,2
71,Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) (Feat. Brendon Urie),2
72,볼빨간사춘기 - 나의 사춘기에게,2
73,편안한 클래식 - Borodin Petite Suite - Intermezzo (보로딘 작은모음곡 - 간주곡),2
74,포맨 - 내 여친,2
75,Banks - Lovesick,2
76,Frenship - Remind You,2
77,Apink (에이핑크) - 몰라요,2
78,"펀치 (Punch), GLABINGO (글라빙고) - Beautiful Beautiful",2
79,Nachteule String Quartet - Bach : Overture No.3 In D Major BWV.1068 - II. Air `Air On A G String` (바흐 : 관현악 모음곡 3번 라장조 - 2번. 아리아 `G선상의 아리아`),2
80,악동뮤지션 - I Love You,2
81,Anna Of The North - Fire,2
82,West//Ghost - Blue,2
83,10cm - 폰서트,2
84,Chante Moore - Real One,2
85,비투비 - 봄날의 기억,2
86,피아노클래식 - Beethoven : Piano Sonata No.21 In C Major Op.53 `Waldstein` - I. Allegro Con Brio (베토벤 : 피아노 소나타 21번 다장조 작품번호 53 `발트슈타인` - 1악장),2
87,Green Diary - Happy Day,2
88,편안한 클래식 - Albeniz : Suite Espanola Op.47 - VII. Castilla. Seguidillas (Op.232-5) (알베니즈 : 스페인 모음곡 작품번호 47 - 7번. 까스따야),2
89,정세운 - Feeling (Feat. PENOMECO),2
90,1415 - 봄이 온 것 같애,2
91,"더필름, #안녕, 정동원 - 우리 결혼해요",2
