,노래 제목,랭킹
0,헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),15
1,아이오아이 (I.O.I) - 소나기,13
2,폴킴 - 비,13
3,태연 (TAEYEON) - Rain,13
4,에픽하이 (EPIK HIGH) - 우산 (Feat. 윤하),12
5,마마무(Mamamoo) - 장마 (Rainy Season),11
6,정인 - 장마,11
7,비스트 - 비가 오는 날엔,10
8,아이유 - Rain Drop,10
9,"소유 (SOYOU), 백현 (BAEKHYUN) - 비가와 (Rain)",9
10,정승환 - 비가 온다,9
11,용준형 - 소나기 (Feat. 10cm),9
12,브라운 아이즈 - 비오는 압구정,8
13,재주소년 - 비오는 아침,7
14,미교 - 빗소리,7
15,가을방학 - 곳에 따라 비,7
16,여자친구 (GFRIEND) - 여름비 (SUMMER RAIN),7
17,이적 - Rain,7
18,유주 (여자친구) - Love Rain (Feat. 수란),6
19,장범준 - 봄비,6
20,리차드파커스 - 밖에는 비가 내려,6
21,스텔라장 (Stella Jang) - It`s Raining (Feat. 버벌진트),6
22,Lim Kim - Rain,6
23,어반자카파 - Let It Rain,6
24,윤하 (YOUNHA) - 빗소리,6
25,Crush - 어떻게 지내,5
26,럼블피쉬 - 비와 당신,5
27,헤이즈 (Heize) - 먹구름 (Feat. nafla),5
28,윤딴딴 - 우산이 두갠데,5
29,아이유 - 잠 못 드는 밤 비는 내리고,5
30,임현정 - 사랑은 봄비처럼...이별은 겨울비처럼...,5
31,비투비-블루 - 비가 내리면,5
32,이선희 - 여우비,4
33,케이시 (Kassy) - 비야 와라 (Let it rain),4
34,에일리 - Rainy Day,4
35,빌리어코스티 - 날 사랑하지 않는다,4
36,공기남 - 비를 내려줘요,4
37,SHINee (샤이니) - 투명 우산 (Don`t Let Me Go),4
38,긱스 (Geeks) - 비가오네 (Feat. 박수민),4
39,소울스타 (SOULSTAR) - 비 오는 거리,4
40,어쿠루브 - Rainy,4
41,에픽하이 (EPIK HIGH) - Let It Rain (Feat. 김종완 of Nell),4
42,린 - 비를 내려줘요,4
43,어쿠루브 - 비가 내리던 어느날,4
44,스탠딩 에그 - 뚝뚝뚝 (With 예슬),4
45,방탄소년단 - Rain,4
46,장혜진 - 비가 내리는 날,4
47,그_냥 - 비의 계절 (Feat. 한올),3
48,디아 - 하루 종일 비가 내렸어,3
49,이기찬 - 비가 오는 날엔,3
50,Babylon (베이빌론) - 비 오는 거리 (Feat. 핫펠트),3
51,Rick Bridges - 빗길 (Feat. 최예근),3
52,이승철 - 서쪽 하늘,3
53,새봄 (saevom) - 여름비 (With 문희원 Of 체리팩토리),3
54,루싸이트 토끼 - 비오는 날,3
55,FTISLAND (FT아일랜드) - 천둥,3
56,이소라 - Rainy Days And Mondays,3
57,SURAN (수란) - 오늘 취하면 (Feat. 창모) (Prod. SUGA),3
58,이민혁 (HUTA) - Purple Rain (Feat. CHEEZE),3
59,Rhys - Swallow Your Pride,3
60,뉴이스트 - 여보세요,3
61,버스커 버스커 - 소나기 (주르르루),3
62,나얼 - 같은 시간 속의 너,3
63,울랄라세션 - 서쪽 하늘,3
64,규현 (KYUHYUN) - 광화문에서 (At Gwanghwamun),3
65,"윤종신, 정준일 - 말꼬리",3
66,스웨덴세탁소 - Rain,3
67,어반자카파 - 혼자,3
68,바이브 - 비와,3
69,Normal puppy - Slowly (Feat. 송미나),3
70,Tom Odell - True Colours,3
71,윤하 (YOUNHA) - 우산,3
72,김윤희 - 비가 내려,3
73,백예린 - Bye bye my blue,3
74,이문세 - 빗속에서,3
75,Ed Sheeran - One,3
76,"지아, 이현 - 비가 내려와",3
77,잔나비 - November Rain,3
78,Crush - 잠 못드는 밤 (Feat. 펀치 (Punch)),3
79,멜로망스 - You,3
80,Nerina Pallot - Sorriest M F In Town,3
81,김태우 - 사랑비,3
82,Rhodes - Close Your Eyes,3
83,정준일 - 안아줘,3
84,범키 - 비 그리고 너,3
85,펀치 (Punch) - 밤이 되니까,3
86,에릭남 (Eric Nam) - 소나기,3
87,강승윤 - 비가 온다,3
88,에피톤 프로젝트 - 소나기,2
89,성시경 - 비개인 날,2
90,홍대광 - 비처럼 fall in love,2
91,청춘학개론 - 설레임,2
92,"휘성 (Realslow), 태일 (블락비), 청하 - rainy day",2
93,"T.P RETRO (타디스 프로젝트舊), 학선 - 하염없이 (Feat. 정동원)",2
94,폴킴 - 너를 만나,2
95,조성모 - To Heaven,2
96,WINNER - 센치해,2
97,씨야 - 사랑의 인사,2
98,비 - 카시오페아 (Feat. 임정희),2
99,빈센트블루 - 비가와,2
100,박새별 - 물망초,2
101,"15& (박지민, 백예린) - Rain & Cry",2
102,유미 - 사랑은 언제나 목마르다,2
103,치즈가몽키 - 비내리던 날 (Feat. OKay & 김상희),2
104,10cm - 10월의 날씨,2
105,코드 쿤스트 (CODE KUNST) - 비네 (rain bird) (Feat. Tablo & Colde),2
106,김윤아 - 봄날은 간다,2
107,로이킴 - 그때 헤어지면 돼,2
108,아이유 - 밤편지,2
109,Norah Jones - Shoot The Moon,2
110,헤이즈 (Heize) - 돌아오지마 (Feat. 용준형 Of 비스트),2
111,Adele - Hiding My Heart,2
112,쿠키앤초코 - 지금 흐르는 비는 내 마음을 적시고,2
113,카멜 - 비만 오면 가끔,2
114,오소연 - 비 오는 날,2
115,BIGBANG - IF YOU,2
116,김상민 - You,2
117,Nothing But Thieves - If I Get High,2
118,Sing Street - To Find You,2
119,플라스틱 - 비오던 날,2
120,김건모 - 서울의 달,2
121,수지 (SUZY) - 다른사람을 사랑하고 있어,2
122,옥수사진관 - 비 오는 날,2
123,스프링롤 - 비오는 거리,2
124,우효 - Vineyard (빈야드),2
125,유성은 - 이대로 멈춰,2
126,Zion.T - 양화대교,2
127,벤 - 미워도 다시 한 번,2
128,박효신 - 좋은사람,2
129,제이워크 - 여우비,2
130,이영훈 - 비 내리던 날,2
131,김건모 - 사랑해 (Fall In Love),2
132,보보 - 늦은 후회,2
133,James Bay - Let It Go,2
134,어쿠스틱 콜라보 - 빗속에서,2
135,몽니 - 소나기,2
136,세정 (구구단) - 꽃길 (Prod. By ZICO),2
137,김건모 - 빗속의 여인,2
138,샘김 (SAM KIM) - TOUCH MY BODY,2
139,에디킴 - 너 사용법,2
140,나윤권 - 나였으면,2
141,"소유 (SOYOU), 매드클라운 - 비가 오면",2
142,Billie Eilish (빌리 아일리시) - idontwannabeyouanymore,2
143,Bruno Mars - When I Was Your Man,2
144,윤건 - 힐링이 필요해 (October Rain),2
145,펜타곤 - 밤에 비가 내리면,2
146,오브로젝트 - 비를 좋아하는 너에게,2
147,"휘인(Whee In), Jeff Bernat, 비오 (B.O.) - 다라다 (DA RA DA)",2
148,낙준 (버나드 박) - Before The Rain,2
149,바닐라 어쿠스틱 - Rain Is Falling,2
150,Before You Exit - Clouds,2
151,Kodaline - High Hopes,2
152,장범준 - 빗속으로,2
153,멜팅멜로디 - 봄비 (Spring Rain),2
154,안녕하신가영 - 비를 기다려,2
155,노블레스 - 비오는 날엔 (Feat. 어쿠스틱 콜라보),2
156,버벌진트 - 장마 (feat. psycoban),2
