,노래 제목,랭킹
0,폴킴 - 비,6
1,로이킴 - 그때 헤어지면 돼,5
2,10cm - 스토커,5
3,밀리그램 (Milligram) - Moonlight,4
4,아이유 - 밤편지,4
5,에디킴 - 너 사용법,4
6,에픽하이 (EPIK HIGH) - 우산 (Feat. 윤하),4
7,양다일 - 미안해,4
8,비투비 - 그리워하다,4
9,10cm - 10월의 날씨,4
10,Jane Monheit - Taking A Chance On Love,3
11,Ayado Chie - どんなときも / Donna Tokimo (언제라도),3
12,윤종신 - 좋니,3
13,Ellie Goulding - How Long Will I Love You,3
14,나얼 - 바람기억,3
15,정승환 - 너였다면,3
16,벤 - 꿈처럼,3
17,이소라 - 바람이 분다,3
18,Billy Joel - Honesty,3
19,Billy Joel - Piano Man,3
20,Ha Okio - Hs Noi Pho,3
21,Sam Smith - I`m Not The Only One,3
22,헤이즈 (Heize) - 비도 오고 그래서 (Feat. 신용재),3
23,Flavia Santana - Entretanto,3
24,Julia & Douglas Simoes - Tempo De Delicadeza,3
25,정준일 - 안아줘,3
26,폴킴 - 너를 만나,3
27,비스트 - 비가 오는 날엔,3
28,이소라 - 사랑이 아니라 말하지 말아요,3
29,스텔라장 (Stella Jang) - It`s Raining (Feat. 버벌진트),3
30,어쿠스틱 콜라보 - 너무 보고싶어,3
31,Fourplay - Firefly,3
32,"Risso (리소), JIDA (지다) - Lullaby",3
33,"Wanda Sa, Bossa Tres - Se E Tarde Me Perdoa / Pra Machucar Meu Coracao / Palpite Infeliz",3
34,Birdy - People Help The People,3
35,Norah Jones - Don`t Know Why,3
36,나윤선 - 그리고 별이 되다,3
37,악동뮤지션 - 시간과 낙엽,3
38,"어쿠스틱 콜라보 - 묘해, 너와",3
39,Bill Evans - Alice In Wonderland,3
40,Louis Armstrong - What A Wonderful World,3
41,이적 - 걱정말아요 그대,3
42,Avril Lavigne - Imagine,2
43,R.Lum.R - Close Enough,2
44,"곽진언, 김필, 임도혁 - 당신만이",2
45,짙은 - Feel Alright,2
46,이소라 - Track 3,2
47,Tom Misch - Movie,2
48,에픽하이 (EPIK HIGH) - One (Feat. 지선),2
49,"토이, 윤하 (YOUNHA) - 오늘 서울은 하루종일 맑음 (Vocal 윤하)",2
50,스탠딩 에그 - Starry Night,2
51,백지영 - 총맞은것처럼,2
52,규현 (KYUHYUN) - 밀리언조각 (A Million Pieces),2
53,Erin Boheme - He Isn`t You,2
54,길구봉구 - 바람이 불었으면 좋겠어,2
55,늘섬 - 시절,2
56,로이킴 - 북두칠성,2
57,Ed Sheeran - Photograph,2
58,레트로펑키 - 서울 (Seoul),2
59,브로콜리너마저 - 춤,2
60,버스커 버스커 - 처음엔 사랑이란게,2
61,Crush - 잊어버리지마 (Feat. 태연),2
62,Angelo Debarre - Blues En Mineur,2
63,Angie Stone - No More Rain (In This Cloud),2
64,Alicia Keys - If I Ain`t Got You (`라디오스타` EXID `하니` 가창곡),2
65,박원 - all of my life,2
66,버스커 버스커 - 소나기 (주르르루),2
67,Gabrielle Aplin - Salvation (영화 `어린왕자` 예고편 삽입곡),2
68,Aoki Hikari - Sway,2
69,"Inger Marie - Even When (사랑, 그 쓸쓸함에 대하여)",2
70,Jooyoung - Inn,2
71,Kodaline - High Hopes,2
72,Adele - All I Ask,2
73,Jason Mraz - I Won`t Give Up,2
74,한희정 - 내일,2
75,Bill Evans - Solar,2
76,가을방학 - 곳에 따라 비,2
77,Lisa Lovbrand - Truly,2
78,Melody Gardot - Baby I`m A Fool,2
79,백예린 - Bye bye my blue,2
80,어반자카파 - 널 사랑하지 않아,2
81,아이유 - 나의 옛날이야기,2
82,Alan Silvestri - Forrest Gump Suite,2
83,170hz - 4pm Cafe,2
84,이적 - Rain,2
85,Birdy - Skinny Love,2
86,Gregory Porter - Liquid Spirit,2
87,아이유 - 무릎,2
88,Sara Bareilles - Gravity,2
89,커피소년 - 사랑이 찾아오면,2
90,Jon Larsen - Bar Pastis,2
91,노르웨이 숲 - 향기가 배게 (Feat. 김민기 Of 투엣),2
92,서진리 - Sweater,2
93,Lisa Ono - You Are The Sunshine Of My Life,2
94,처진 달팽이 (유재석 & 이적) - 말하는 대로,2
95,Sabrina Claudio - Belong To You,2
96,태연 (TAEYEON) - 비밀(Secret),2
97,이소라 - October Lover (feat. 로이킴),2
98,Gregory Porter - Consequence Of Love,2
99,박보람 - 혜화동 (혹은 쌍문동),2
100,Fulvia - La Stella Piu` Brillante,2
101,The Cooltrane Quartet - Like A Virgin,2
102,Tamia - Officially Missing You,2
103,박보검 - 별 보러 가자,2
104,Nina Simone - My Baby Just Cares For Me,2
105,박새별 - 사랑인가요,2
106,Babylon (베이빌론) - 그리웠나 봐 (Miss You),2
